ADVP ==> RBR ADVP|<DT-NN> [5.359056806E-4]
VP ==> VBN VP|<NP-PP-PP-SBAR> [6.90846286701E-5]
NAC ==> NNP NAC|<,-NNP-,> [0.313725490196]
QP ==> CD QP|<CC-CD> [0.00253164556962]
ADJP|<,-NNP-JJ> ==> , ADJP|<NNP-JJ> [1.0]
NP ==> RB NP|<DT-NN-NN> [3.24685866424E-5]
NP|<CC-ADJP> ==> CC ADJP [1.0]
NP ==> NNP NP|<CC-NNP-POS> [3.24685866424E-4]
S ==> CC S|<NP-NP-VP> [1.05630083448E-4]
VP ==> VBZ VP|<NP-PP-S> [6.90846286701E-5]
S ==> NP S|<ADJP-ADVP> [1.05630083448E-4]
NP|<NN-NN-NN-NNS> ==> NN NP|<NN-NN-NNS> [1.0]
VP|<PP-NP-PP-PP> ==> PP VP|<NP-PP-PP> [1.0]
NP|<CC-ADVP-NP> ==> CC NP|<ADVP-NP> [1.0]
NP ==> NP NP|<JJ-JJ-VBG> [3.24685866424E-5]
VP|<RB-ADVP> ==> RB ADVP [1.0]
NP ==> JJ NP|<JJ-NN-NNS> [3.89623039709E-4]
NP|<PP-S> ==> PP S [1.0]
CONJP ==> IN IN [0.04]
FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> ==> FRAG FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-CC-FRAG> [1.0]
NP|<NN-,-SBAR> ==> NN NP|<,-SBAR> [1.0]
NP ==> DT NP|<NNP-NNP-NN-NNS> [6.49371732848E-5]
PP|<IN-ADJP> ==> IN ADJP [1.0]
NP ==> NN NP|<NNS-CC-NN> [3.24685866424E-5]
NP|<NN-PRN> ==> NN PRN [1.0]
S|<CC-S-S> ==> CC S|<S-S> [1.0]
NP ==> DT NP|<ADJP-NN-NN-NN> [3.24685866424E-5]
S ==> NP ADJP [0.0068659554241]
NP ==> DT NP|<JJ-NN-CC-NN-NN-NN> [3.24685866424E-5]
S|<SBAR-,-VP-.> ==> SBAR S|<,-VP-.> [1.0]
NP ==> DT NP|<JJ-NN-NNS-POS> [3.24685866424E-5]
NP ==> NNP NP|<NNP-NNP-NNP-JJ-NN> [2.59748693139E-4]
VP|<PP-,-S> ==> PP VP|<,-S> [1.0]
NP|<,-PP> ==> , PP [1.0]
NP|<JJ-NNPS> ==> JJ NNPS [1.0]
VP|<''-SBAR-,-SBAR> ==> '' VP|<SBAR-,-SBAR> [1.0]
VP ==> VBG VP|<S-''-ADVP-SBAR> [6.90846286701E-5]
NP ==> NP NP|<PRN-:> [2.59748693139E-4]
NP|<NP-NN> ==> NP NN [1.0]
PP ==> VBG PP [0.00461274404634]
UCP|<NN-NN> ==> NN NN [1.0]
NP|<ADVP-NP-,> ==> ADVP NP|<NP-,> [1.0]
VP|<NP-UCP> ==> NP UCP [1.0]
NP|<NN-JJ-NN-NN> ==> NN NP|<JJ-NN-NN> [1.0]
NP|<,-PP-,> ==> , NP|<PP-,> [1.0]
NP|<NNS-X> ==> NNS X [1.0]
X|<CD-NN> ==> CD NN [1.0]
NX|<NNP-PP> ==> NNP PP [1.0]
ADJP ==> RB ADJP|<JJ-SBAR> [0.00161812297735]
NP ==> PRP$ NP|<NN-VBG-NN> [6.49371732848E-5]
VP|<,-PP-,-S> ==> , VP|<PP-,-S> [1.0]
VP|<S-''-NP> ==> S VP|<''-NP> [1.0]
ADJP|<JJR-IN> ==> JJR IN [1.0]
NP ==> ADVP NP|<CD-NNS> [3.24685866424E-5]
NP|<CC-CD> ==> CC CD [1.0]
VP ==> VBP VP|<ADVP-PP-,-S> [6.90846286701E-5]
NP ==> SBAR NP|<CC-NP> [6.49371732848E-5]
UCP|<NN-NNS> ==> NN NNS [1.0]
VP ==> VBD VP|<PP-PP> [0.00352331606218]
NP|<``-PP-''-NN> ==> `` NP|<PP-''-NN> [1.0]
VP|<PRN-ADVP-VP> ==> PRN VP|<ADVP-VP> [1.0]
NP ==> NN NP|<CC-JJ-NNS> [6.49371732848E-5]
NP|<:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> ==> : NP|<NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> [1.0]
S|<,-ADVP-,-VP-.> ==> , S|<ADVP-,-VP-.> [1.0]
VP|<VBP-SBAR> ==> VBP SBAR [1.0]
S|<S-CC-S> ==> S S|<CC-S> [1.0]
NP|<''-PP-:-NP> ==> '' NP|<PP-:-NP> [1.0]
VP ==> PRN VP|<VBN-NP> [2.0725388601E-4]
NP ==> JJ NP|<NN-NN-NNP-NNP> [3.24685866424E-5]
VP|<ADVP-PP-PP> ==> ADVP VP|<PP-PP> [1.0]
NP|<IN-NP> ==> IN NP [1.0]
VP|<ADJP-PP-S> ==> ADJP VP|<PP-S> [1.0]
NP ==> JJ NP|<,-JJ-NNS> [9.74057599273E-5]
NP|<PP-RRC> ==> PP RRC [1.0]
NP ==> VBZ S [3.24685866424E-5]
NP|<CD-JJ-NN> ==> CD NP|<JJ-NN> [1.0]
NP ==> DT NP|<VBG-NN> [0.00113640053248]
UCP|<,-CC-ADJP> ==> , UCP|<CC-ADJP> [1.0]
NP ==> JJ NP|<NNP-NNP-NNP-NNP> [6.49371732848E-5]
S|<''-VP-:> ==> '' S|<VP-:> [1.0]
VP|<VP-SBAR> ==> VP SBAR [1.0]
ADJP|<,-JJ-CC-NN> ==> , ADJP|<JJ-CC-NN> [1.0]
NP|<,-NNP-,-CC-NNP> ==> , NP|<NNP-,-CC-NNP> [1.0]
NP ==> DT NP|<NN-CC-JJ-NNS-NN> [6.49371732848E-5]
VP|<PP-SBAR-ADVP> ==> PP VP|<SBAR-ADVP> [1.0]
NP ==> DT RBS [3.24685866424E-5]
S ==> NP S|<,-NP-,-VP-.> [1.05630083448E-4]
NP ==> NN NP|<CC-JJ-NN-NNS> [3.24685866424E-5]
VP ==> VBN VP|<PP-PP-PP-,-SBAR> [6.90846286701E-5]
NP|<,-CC-NP-,-PP> ==> , NP|<CC-NP-,-PP> [1.0]
VP ==> VP VP|<CC-,-VP> [6.90846286701E-5]
NP ==> PRP$ NP|<JJS-NN-NN> [3.24685866424E-5]
PRN|<NN-,> ==> NN , [1.0]
NP|<S-.> ==> S . [1.0]
NP ==> CD NP|<JJ-NNS> [9.74057599273E-4]
VP|<ADVP-PP-ADVP-,-S> ==> ADVP VP|<PP-ADVP-,-S> [1.0]
PRN ==> , PRN|<PP-,> [0.110367892977]
PRN ==> : PRN|<CC-NN-:> [0.00334448160535]
ADJP ==> NN ADJP|<CC-NN> [8.09061488673E-4]
S|<SBAR-.> ==> SBAR . [1.0]
NP|<NAC-NN-POS> ==> NAC NP|<NN-POS> [1.0]
NP ==> NP NP|<JJS-NN> [1.2987434657E-4]
VP ==> VB VP [0.0178929188256]
VP ==> VBD VP|<ADVP-ADJP> [1.3816925734E-4]
PP ==> IN PP|<NP-.> [1.07273117357E-4]
VP|<NP-ADVP-,-SBAR> ==> NP VP|<ADVP-,-SBAR> [1.0]
S ==> '' S|<NP-VP-.> [1.05630083448E-4]
SBAR|<PP-S> ==> PP S [1.0]
NP|<NP-:-NP-,-CC-NP> ==> NP NP|<:-NP-,-CC-NP> [1.0]
VP ==> VB VP|<NP-``-SBAR> [1.3816925734E-4]
NP ==> NP ADJP [0.00279229845125]
NP|<NN-NN-NN> ==> NN NP|<NN-NN> [1.0]
VP|<S-,-SBAR-,-PP> ==> S VP|<,-SBAR-,-PP> [1.0]
S ==> `` S|<SINV-,-''-NP-VP-.> [2.11260166896E-4]
S ==> NP S|<TO-VP> [1.05630083448E-4]
PP|<PP-,-CC-RB-PP> ==> PP PP|<,-CC-RB-PP> [1.0]
VP|<CC-VP-,-SBAR> ==> CC VP|<VP-,-SBAR> [1.0]
S|<S-,-NP-VP-.-''> ==> S S|<,-NP-VP-.-''> [1.0]
NP|<JJR-NN-S> ==> JJR NP|<NN-S> [1.0]
SBARQ|<:-CC-SBARQ> ==> : SBARQ|<CC-SBARQ> [1.0]
NP|<NNP-NNP-NNP-NNP-,-NNP-,-NN-NN-NNS> ==> NNP NP|<NNP-NNP-NNP-,-NNP-,-NN-NN-NNS> [1.0]
VP ==> VBZ VP|<RB-ADVP-ADJP-ADVP> [6.90846286701E-5]
VP ==> VBG VP|<NP-,-S> [2.0725388601E-4]
VP ==> VBZ FRAG [6.90846286701E-5]
S ==> CC S|<SBAR-,-NP-NP-VP-.> [1.05630083448E-4]
ADJP ==> RB DT [0.00161812297735]
VP ==> ADVP VP|<VBD-SBAR> [1.3816925734E-4]
NP|<VBN-NN-NNS> ==> VBN NP|<NN-NNS> [1.0]
ADJP ==> ADVP JJ [0.0088996763754]
VP|<''-PP-SBAR-,-SBAR> ==> '' VP|<PP-SBAR-,-SBAR> [1.0]
NP|<``-SBAR-,-''-PP> ==> `` NP|<SBAR-,-''-PP> [1.0]
VP|<,-VBP-CC-VBP-NP> ==> , VP|<VBP-CC-VBP-NP> [1.0]
S|<``-RB-ADJP> ==> `` S|<RB-ADJP> [1.0]
CONJP ==> RB CONJP|<TO-VB> [0.04]
S|<:-S-:-S-.> ==> : S|<S-:-S-.> [1.0]
VP ==> VB VP|<NP-PRN> [6.90846286701E-5]
VP|<CC-ADVP-VP> ==> CC VP|<ADVP-VP> [1.0]
VP ==> VB VP|<PP-PP-,-SBAR> [6.90846286701E-5]
NP ==> NP NP|<,-NP-,-CONJP-NP> [3.24685866424E-5]
VP|<RB-PP-,-ADVP> ==> RB VP|<PP-,-ADVP> [1.0]
ADJP ==> ADVP ADJP|<RB-JJ> [8.09061488673E-4]
QP ==> IN QP|<JJS-CD> [0.00759493670886]
NP ==> JJ NP|<,-JJ-NN-NNS> [9.74057599273E-5]
